,day,type,direction,amount,balance
0,0,CLIENT_OUT,out,643672.99,49356327.01
1,0,CLIENT_OUT,out,1313574.32,48042752.69
2,0,CLIENT_OUT,out,213857.87,47828894.82
3,0,LOAN_ISSUE,out,14819101.93,33009792.89
4,0,CLIENT_IN,in,1766171.22,34775964.11
5,0,DEPOSIT_IN,in,2376279.99,37152244.09
6,0,CLIENT_IN,in,4554980.0,41707224.1
7,0,CLIENT_IN,in,4893900.23,46601124.32
8,0,CLIENT_OUT,out,2710732.47,43890391.86
9,0,CLIENT_IN,in,1369746.06,45260137.92
10,0,CLIENT_OUT,out,2960681.83,42299456.09
11,0,CLIENT_IN,in,1695884.2,43995340.29
12,0,CLIENT_OUT,out,4455606.64,39539733.65
13,0,CLIENT_IN,in,3169382.18,42709115.83
14,0,CLIENT_OUT,out,4112481.08,38596634.75
15,0,CLIENT_IN,in,2781992.56,41378627.31
16,0,CLIENT_IN,in,2141888.83,43520516.13
17,0,SALARY,out,12430471.92,31090044.22
18,1,CLIENT_OUT,out,2277858.49,28812185.73
19,1,CLIENT_OUT,out,4785338.41,24026847.32
20,1,CLIENT_IN,in,3694314.52,27721161.84
21,1,CLIENT_IN,in,3589302.11,31310463.95
22,1,CLIENT_IN,in,1289301.56,32599765.51
23,1,CLIENT_OUT,out,2895139.96,29704625.55
24,1,LOAN_ISSUE,out,11976946.69,17727678.85
25,1,LOAN_ISSUE,out,17962221.09,10000000.0
26,1,CLIENT_IN,in,694788.66,10694788.66
27,1,DEPOSIT_IN,in,6777967.93,17472756.6
28,1,CLIENT_IN,in,906504.28,18379260.88
29,1,CLIENT_OUT,out,562356.04,17816904.84
30,1,LOAN_ISSUE,out,12164673.68,10000000.0
31,1,CLIENT_OUT,out,4314707.83,10000000.0
32,1,CLIENT_OUT,out,4163912.38,10000000.0
33,2,CLIENT_IN,in,346440.61,10346440.61
34,2,CLIENT_OUT,out,4960762.35,10000000.0
35,2,CLIENT_IN,in,1140061.75,11140061.75
36,2,CLIENT_OUT,out,4742116.26,10000000.0
37,2,DEPOSIT_IN,in,4789635.21,14789635.21
38,2,CLIENT_IN,in,4994093.9,19783729.11
39,2,DEPOSIT_IN,in,6651264.15,26434993.26
40,2,LOAN_ISSUE,out,14342573.49,12092419.77
41,2,CLIENT_OUT,out,2204950.65,10000000.0
42,2,CLIENT_OUT,out,922096.32,10000000.0
43,2,CLIENT_OUT,out,678852.16,10000000.0
44,2,LOAN_ISSUE,out,18819769.81,10000000.0
45,2,CLIENT_IN,in,4563887.47,14563887.47
46,2,CLIENT_OUT,out,2050168.33,12513719.14
47,2,CLIENT_IN,in,4633986.0,17147705.15
48,2,CLIENT_OUT,out,3752946.16,13394758.98
49,2,CLIENT_OUT,out,3970149.19,10000000.0
50,2,LOAN_ISSUE,out,13116461.84,10000000.0
51,2,CLIENT_OUT,out,4964432.7,10000000.0
52,2,CLIENT_IN,in,2432917.13,12432917.13
53,2,CLIENT_OUT,out,600359.51,11832557.62
54,2,CLIENT_IN,in,4375560.29,16208117.91
55,3,LOAN_ISSUE,out,14076614.6,10000000.0
56,3,CLIENT_IN,in,1660886.4,11660886.4
57,3,CLIENT_OUT,out,4695911.47,10000000.0
58,3,CLIENT_OUT,out,2094861.28,10000000.0
59,3,CLIENT_IN,in,3791485.97,13791485.97
60,3,DEPOSIT_IN,in,5311822.2,19103308.16
61,3,CLIENT_OUT,out,4138733.38,14964574.78
62,3,CLIENT_IN,in,2481555.03,17446129.81
63,3,CLIENT_IN,in,975749.81,18421879.62
64,3,LOAN_ISSUE,out,16071216.84,10000000.0
65,3,CLIENT_OUT,out,782276.29,10000000.0
66,3,CLIENT_OUT,out,3596045.03,10000000.0
67,3,CLIENT_IN,in,1976744.53,11976744.53
68,3,CLIENT_IN,in,3550131.79,15526876.32
69,3,CLIENT_IN,in,4160495.62,19687371.95
70,3,CLIENT_IN,in,2949574.35,22636946.29
71,3,CLIENT_IN,in,1995992.59,24632938.88
72,3,CLIENT_OUT,out,2042754.0,22590184.88
73,3,DEPOSIT_IN,in,1928723.82,24518908.7
74,3,CLIENT_OUT,out,532927.96,23985980.74
75,3,CLIENT_OUT,out,4020101.15,19965879.59
76,3,CLIENT_OUT,out,4351241.16,15614638.43
77,4,DEPOSIT_IN,in,8825540.75,24440179.18
78,4,DEPOSIT_IN,in,8411648.29,32851827.47
79,4,CLIENT_OUT,out,2161300.09,30690527.39
80,4,CLIENT_IN,in,3901545.34,34592072.73
81,4,CLIENT_OUT,out,2505791.82,32086280.91
82,4,CLIENT_IN,in,2677568.74,34763849.65
83,4,CLIENT_IN,in,3597704.95,38361554.6
84,4,CLIENT_OUT,out,703544.61,37658009.99
85,4,CLIENT_IN,in,2318712.88,39976722.87
86,4,CLIENT_OUT,out,792666.12,39184056.75
87,4,CLIENT_IN,in,1766372.51,40950429.25
88,4,CLIENT_OUT,out,1244372.86,39706056.39
89,4,LOAN_ISSUE,out,10641441.22,29064615.17
90,4,CLIENT_OUT,out,2194332.09,26870283.08
91,4,CLIENT_OUT,out,2728714.58,24141568.5
92,4,CLIENT_OUT,out,4358512.57,19783055.92
93,4,CLIENT_OUT,out,4232409.36,15550646.56
94,4,CLIENT_OUT,out,302667.27,15247979.29
95,4,CLIENT_OUT,out,479931.27,14768048.01
96,4,CLIENT_IN,in,1903224.89,16671272.9
97,5,CLIENT_OUT,out,1160053.29,15511219.61
98,5,LOAN_ISSUE,out,13142748.92,10000000.0
99,5,CLIENT_OUT,out,2601323.28,10000000.0
100,5,LOAN_ISSUE,out,8069579.54,10000000.0
101,5,DEPOSIT_IN,in,3739064.25,13739064.25
102,5,CLIENT_OUT,out,1296295.36,12442768.89
103,5,CLIENT_OUT,out,3284304.86,10000000.0
104,5,CLIENT_IN,in,1916932.18,11916932.18
105,5,CLIENT_OUT,out,3983936.42,10000000.0
106,5,CLIENT_OUT,out,4263511.46,10000000.0
107,5,CLIENT_IN,in,3979605.42,13979605.42
108,5,CLIENT_OUT,out,1155478.08,12824127.34
109,5,CLIENT_OUT,out,3650123.63,10000000.0
110,5,CLIENT_IN,in,3900544.35,13900544.35
111,5,CLIENT_IN,in,3087661.2,16988205.55
112,5,CLIENT_IN,in,1471038.46,18459244.01
113,5,CLIENT_OUT,out,3531252.04,14927991.97
114,6,CLIENT_IN,in,2864099.96,17792091.93
115,6,LOAN_ISSUE,out,18498418.25,10000000.0
116,6,CLIENT_IN,in,3643571.12,13643571.12
117,6,CLIENT_OUT,out,4772527.98,10000000.0
118,6,CLIENT_OUT,out,1354393.15,10000000.0
119,6,CLIENT_IN,in,3254240.97,13254240.97
120,6,CLIENT_OUT,out,1866590.61,11387650.35
121,6,CLIENT_OUT,out,2162804.73,10000000.0
122,6,CLIENT_IN,in,2153775.75,12153775.75
123,6,CLIENT_OUT,out,1687007.36,10466768.39
124,6,CLIENT_IN,in,4118377.44,14585145.83
125,6,CLIENT_IN,in,2529715.76,17114861.59
126,6,CLIENT_OUT,out,4698189.11,12416672.49
127,6,CLIENT_IN,in,1379095.31,13795767.8
128,6,CLIENT_IN,in,2378076.65,16173844.45
129,6,CLIENT_IN,in,4577415.05,20751259.5
130,7,CLIENT_IN,in,4187237.53,24938497.03
131,7,CLIENT_IN,in,2763881.57,27702378.6
132,7,CLIENT_IN,in,1386938.19,29089316.79
133,7,LOAN_ISSUE,out,16586305.47,12503011.32
134,7,CLIENT_IN,in,4640223.5,17143234.82
135,7,CLIENT_OUT,out,1442517.9,15700716.92
136,7,CLIENT_IN,in,1272769.54,16973486.46
137,7,CLIENT_IN,in,2938336.6,19911823.06
138,7,CLIENT_IN,in,947656.25,20859479.31
139,7,CLIENT_IN,in,3987757.96,24847237.27
140,7,CLIENT_IN,in,2762037.04,27609274.31
141,7,DEPOSIT_IN,in,7888982.81,35498257.13
142,7,LOAN_ISSUE,out,17639487.21,17858769.91
143,7,CLIENT_IN,in,3386231.15,21245001.07
144,7,CLIENT_IN,in,3919756.76,25164757.83
145,7,CLIENT_IN,in,2728164.12,27892921.95
146,7,CLIENT_OUT,out,2116943.08,25775978.87
147,8,CLIENT_IN,in,2103861.63,27879840.5
148,8,CLIENT_IN,in,4728258.14,32608098.64
149,8,CLIENT_IN,in,2607566.09,35215664.74
150,8,CLIENT_OUT,out,1482067.92,33733596.81
151,8,CLIENT_IN,in,812645.87,34546242.68
152,8,DEPOSIT_IN,in,1294086.8,35840329.49
153,8,CLIENT_IN,in,3517445.61,39357775.09
154,8,DEPOSIT_IN,in,6349147.81,45706922.91
155,8,CLIENT_OUT,out,2984201.59,42722721.32
156,8,LOAN_ISSUE,out,14118050.93,28604670.39
157,8,CLIENT_OUT,out,1407677.76,27196992.63
158,8,CLIENT_IN,in,4918918.75,32115911.38
159,8,CLIENT_IN,in,3509186.92,35625098.3
160,8,CLIENT_IN,in,1429470.07,37054568.36
161,8,CLIENT_IN,in,1430173.45,38484741.81
162,8,CLIENT_OUT,out,1666879.84,36817861.97
163,8,LOAN_ISSUE,out,16916780.41,19901081.56
164,8,CLIENT_IN,in,3814423.14,23715504.7
165,8,CLIENT_OUT,out,1778229.29,21937275.4
166,8,CLIENT_IN,in,1995185.43,23932460.83
167,8,DEPOSIT_IN,in,8745653.83,32678114.66
168,8,CLIENT_OUT,out,4170562.08,28507552.58
169,9,CLIENT_OUT,out,1997671.0,26509881.58
170,9,CLIENT_IN,in,439721.26,26949602.84
171,9,DEPOSIT_IN,in,1043789.92,27993392.76
172,9,CLIENT_IN,in,277481.49,28270874.25
173,9,LOAN_ISSUE,out,11846524.8,16424349.45
174,9,CLIENT_IN,in,2120482.67,18544832.12
175,9,CLIENT_OUT,out,1835135.99,16709696.14
176,9,CLIENT_OUT,out,2258142.88,14451553.25
177,9,CLIENT_OUT,out,1263794.38,13187758.87
178,9,CLIENT_IN,in,1548879.06,14736637.93
179,9,CLIENT_IN,in,877829.39,15614467.33
180,9,CLIENT_IN,in,3463945.24,19078412.57
181,9,CLIENT_IN,in,4285935.05,23364347.62
182,9,LOAN_ISSUE,out,14441084.0,10000000.0
183,9,CLIENT_IN,in,2858796.74,12858796.74
184,9,CLIENT_IN,in,1749018.59,14607815.34
185,9,CLIENT_IN,in,4564443.02,19172258.36
186,9,DEPOSIT_IN,in,6717731.6,25889989.96
187,9,CLIENT_OUT,out,1085002.0,24804987.96
188,10,DEPOSIT_IN,in,3617375.45,28422363.41
189,10,CLIENT_OUT,out,4870974.29,23551389.12
190,10,CLIENT_OUT,out,1945643.3,21605745.83
191,10,CLIENT_OUT,out,3466084.43,18139661.4
192,10,CLIENT_OUT,out,694247.16,17445414.23
193,10,CLIENT_IN,in,221083.41,17666497.64
194,10,LOAN_ISSUE,out,7636639.2,10029858.44
195,10,LOAN_ISSUE,out,12034326.32,10000000.0
196,10,CLIENT_OUT,out,1978579.83,10000000.0
197,10,CLIENT_IN,in,1374455.55,11374455.55
198,10,DEPOSIT_IN,in,2765223.1,14139678.65
199,10,CLIENT_IN,in,4250773.38,18390452.04
200,10,CLIENT_IN,in,697588.72,19088040.76
201,10,DEPOSIT_IN,in,5396389.46,24484430.21
202,10,LOAN_ISSUE,out,1779758.99,22704671.22
203,10,CLIENT_OUT,out,394635.44,22310035.78
204,10,DEPOSIT_IN,in,8515938.37,30825974.15
205,10,CLIENT_OUT,out,2471337.88,28354636.27
206,10,CLIENT_IN,in,4027185.0,32381821.27
207,10,LOAN_ISSUE,out,9340294.18,23041527.09
208,10,CLIENT_IN,in,675881.12,23717408.21
209,10,LOAN_ISSUE,out,7691188.76,16026219.45
210,11,CLIENT_IN,in,3999052.96,20025272.42
211,11,CLIENT_IN,in,260923.12,20286195.54
212,11,LOAN_ISSUE,out,3908298.6,16377896.94
213,11,CLIENT_IN,in,2802668.03,19180564.97
214,11,CLIENT_OUT,out,1060624.66,18119940.31
215,11,CLIENT_OUT,out,3152900.43,14967039.88
216,11,LOAN_ISSUE,out,17596816.41,10000000.0
217,11,CLIENT_OUT,out,4756175.92,10000000.0
218,11,CLIENT_IN,in,2559454.85,12559454.85
219,11,CLIENT_IN,in,2361403.03,14920857.88
220,11,CLIENT_IN,in,2278600.76,17199458.64
221,11,DEPOSIT_IN,in,7342914.79,24542373.43
222,11,CLIENT_OUT,out,3596950.08,20945423.35
223,11,LOAN_ISSUE,out,6668045.61,14277377.74
224,11,CLIENT_IN,in,2775123.72,17052501.46
225,11,CLIENT_OUT,out,1920828.34,15131673.12
226,11,CLIENT_IN,in,1479608.51,16611281.63
227,11,CLIENT_IN,in,4431286.64,21042568.28
228,11,CLIENT_OUT,out,3388132.56,17654435.72
229,11,CLIENT_IN,in,2588824.01,20243259.73
230,11,CLIENT_IN,in,3046678.9,23289938.63
231,11,DEPOSIT_IN,in,4043424.37,27333363.0
232,11,CLIENT_IN,in,4079195.49,31412558.49
233,11,CLIENT_IN,in,4637966.67,36050525.16
